Note,Tags,State
Travel and Tourism Site for Vermont,Travel Tourism Site,Vermont
See historical snapshot at: http://web.archive.org/web/20080120044716/http://www.1800arkansas.com/,,
"""2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services",Virginia Department,Virginia
"""2-1-1 VIRGINIA is a service of the Virginia Department of Social Services provided in partnership with the Council of Community Services",Virginia Department,Virginia
4th Judicial District Attorney,,
"""511 NY (New York State Department of Transportation)",New York State,New York
State of Idaho (mirror website of www.idaho.gov),,Idaho
Alabama Cooperative Extension System,,Alabama
New Mexico Cooperative Extension Publications,New Mexico,New Mexico
Pennsylvania Adoption Exchange,,Pennsylvania
Alabama Department of Public Health,,Alabama
University of Massachusetts Center for Agriculture Research and Extension,,Massachusetts
Texas A&M AgriLife Extension,,Texas
Alabama Housing Finance Authority,,Alabama
Alaska Housing Finance Corporation,,Alaska
Alaska Industrial Development and Export Authority,,Alaska
Alaska's Department of Military and Veterans Affairs Division of Homeland Security and Emergency Management,,
Alaska Aerospace Corporation (Board of directors appointed by Alaska governor),,Alaska
Alaska Energy Authority,,Alaska
Alaska Public Broadcasting Commission,,Alaska
Alaska Railroad Corporation,,Alaska
Travel and Tourism Site for Alabama,Travel Tourism Site,Alabama
Alabama National Guard Counterdrug Program,National Guard,Alabama
Alabama Film Office,,Alabama
"""Alabama's Legal Information Center",,
Alaska Railroad Corporation,,Alaska
Alaska Seafood Marketing Institute,,Alaska
Alabama State Board of Medical Examiners (an administrative and regulatory agency of the state of Alabama) and the Medical Licensure Commission of Alabama,State Board,Alabama
Alabama Board of Pharmacy,,Alabama
Alabama State Department of Education,,Alabama
Travel and Tourism Site for American Samoa,Travel Tourism Site,
"""Amtrak Cascades",,
Agency for Persons with Disabilities (APD),,
Alaska Permanent Fund Corporation,,Alaska
Arkansas Public Service Commission,,Arkansas
ARBenefitsfor Arkansas State and Public School Plan MembersProvided by the Employee Benefit Division of the [Arkansas] Department of Finance & Administration,,Arkansas
Arkansas Fire Protection Licensing Board,,Arkansas
Arkansas National Guard,National Guard,Arkansas
Travel and Tourism Site for Arizona,Travel Tourism Site,Arizona
Arizona lottery,,Arizona
"""Arizona's Workforce Connection!",,
"""Arkansas History Commission",,Arkansas
Travel and Tourism Site for Arkansas,Travel Tourism Site,Arkansas
Arkansas Children's Trust Fund,,Arkansas
Arkansas Department of Education,,Arkansas
Arkansas Economic Development Coorporation (AEDC),Economic Development,Arkansas
Arkansas Ethics Commission,,Arkansas
"""ARKids First health insurance",,
Arkansas Livestock and Poultry Commission,,Arkansas
Arkansas State Medical Board,,Arkansas
Arkansas State Board of Optometry,State Board,Arkansas
Arkansas State Board of Physical Therapy,State Board,Arkansas
Arkansas State Board of Collection Agencies,State Board,Arkansas
"""Alabama State Port Authority",,Alabama
American Samoa Territorial Energy Office,,
New York State Public Service Commission’s Consumer Web Site,New York State,New York
"""California State Assembly Democratic Caucus",,California
Assistive Technology Loan Fund Authority. The authority offers low interest loans for a variety of special equipment to eligible applicants. See the establishing law at http://law.lis.virginia.gov/authorities/assistive-technology-loan-fund-authority-atlfa,,
Arizona Board of Behavioral Health Examiners,,Arizona
Arizona Commerce Authority,,Arizona
Arizona State Board of Dental Examiners,State Board,Arizona
Arizona State Parks,,Arizona
"""USS North Carolina Battleship",North Carolina,North Carolina
"""Village of Baxter Estates",,
North Carolina Board of Massage & Bodywork Therapy,North Carolina Board,North Carolina
NC museum of natural sciences,,
State of Connecticut Bonds,,Connecticut
"""California Humanities is an independent non-profit partner of the National Endowment for the Humanities",,California
"""CaliforniaVolunteers",,
CA State Independent Living Counsel advocates for persons with disabilities to enable them to live independently. n,,
California State Teachers Retirement System,,California
Nebraska State Capitol,,Nebraska
"""Caswell Developmental Center",,
"""California Environmental Health Tracking Program",,California
Univ of Kentucky Extension website,,Kentucky
"""Hawaii-Pacific Area Combined Federal Campaign - geographic area includes the State of Hawaii",,Hawaii
"""Tristate CFC",,
"""College Foundation of North Carolina",North Carolina,North Carolina
"""Chesapeake Bay Program",,
Pennsylvania's Children's Health Insurance Program (CHIP),,
Maryland Department of Business and Economic Development,Economic Development,Maryland
Connecticut Historical SocietyMuseum and Library,,Connecticut
"""statesville",,
"""Clemson Univ",,
Arkansas Commission on Law Enforcement Standards and Training,,Arkansas
"""Coliseum Boulevard Plume (CBP)",,
Travel and Tourism Site for Colorado,Travel Tourism Site,Colorado
Colorado lottery,,Colorado
"""Colorado No Call program. A private company",,Colorado
"""Upper Colorado River Endangered Fish Recovery Program",,Colorado
North Carolina DOT Complete Streets,North Carolina,North Carolina
"""Correction Enterprises",,
Louisiana Crawfish Promotion and Research Board (LCPRB),,Louisiana
Georgia Superior Courts,,Georgia
Connecticut State Treasury Unclaimed Property Owners List,,Connecticut
"""Center for Technology at the University at Albany",,
Connecticut lottery,,Connecticut
Connecticut State Library,,Connecticut
Travel and Tourism Site for Connecticut,Travel Tourism Site,Connecticut
Clean Water Management Trust Fund,,
IL Secretary of State,,
Delaware National Guard,National Guard,Delaware
"""Division of Employment Security (DES)",,
"""Massachusetts JobQuest",,Massachusetts
"""About the Digital Maine Repository The Digital Maine Repository is one of several services of the Maine State Library to facilitate digitization of - and enhanced access to - collections related to Maine history",,Maine
Travel and Tourism Site for Ohio,Travel Tourism Site,Ohio
Travel and Tourism Site for South Carolina,"Travel Tourism Site, South Carolina",South Carolina
Virginia Department of Motor Vehicles,Virginia Department,Virginia
American Samoa Department of Education,,
NC Dept of Revenue,,
"""Driving95 Corridor Planning and Finance Study website",,
Wisconsin National Guard Drug Control Program,National Guard,Wisconsin
myeatsmartmovemore.com is the 'consumer' site and eatsmartmovemorenc.com is the 'program' site.,,
Educational Communications Board of WI,,
"""Environmental Hearing Board",,
Environmental Health Officer Professional Advisory Committee,,
Virginia Office of the State Long-Term Care Ombudsman,,Virginia
Washington State University ExtensionEnergy Program,Washington State,Washington
"""The Energy Section in the Division of Energy",,
Illinois Office of Tourism,,Illinois
environmental help website of NC,,
Nebraska Environmental Trust,,Nebraska
This is a site of the east-west gateway Council of Government in the bi-state St. Louis area.,,
Executive Action Team (EXACT) Multilateral Working Group on Water Resources,,
Travel and tourism site for Washington State,Washington State,Washington
Travel and Tourism Site for Georgia,Travel Tourism Site,Georgia
Travel and tourism site for state of Minnesota hosted by Explore Minnesota Tourism,,Minnesota
Virginia Cooperative Extension,,Virginia
Washington State University Extension,"State University Extension, Washington State",Washington
West Virginia University Extension Service,West Virginia,West Virginia
Iowa State University Extension,State University Extension,Iowa
University of Illinois Extension,,Illinois
New Mexico Cooperative Extension Service,"Cooperative Extension Service, New Mexico",New Mexico
Oregon State University Extension Service,State University Extension,Oregon
Penn State Extension,,
Purdue (Indiana) Cooperative Extension,,Indiana
University of Delaware Cooperative Extension Service,Cooperative Extension Service,Delaware
Univ of Maine extension,,Maine
University of Minnesota Extension,,Minnesota
Univ of NH,,
University of Nebraska&ndash;Lincoln Extension,,
Utah State University extension,,Utah
OK State Family & Consumer website,,
"""The Florida Commission on the Status of Women - The Florida Commission on the Status of Women is a nonpartisan board",,Florida
SC film industry,,
Pennsylvania Fish and Boat Commission (PFBC),,Pennsylvania
Florida lottery,,Florida
"""Florida Courts - The mission of the judicial branch is to protect rights and liberties",,Florida
Florida Department of Education,,Florida
Florida Governor's Office,,Florida
"""Florida Office of Financial Regulation - Key Function: provides regulatory oversight for Florida's financial services providers.  Mission: to protect the citizens of Florida",,Florida
Florida Office of Insurance Regulation - To promote a stable and competitive insurance market for consumers.,,Florida
Florida National Guard Counterdrug.  n   Florida Counterdrup Program - Under this authority our office provides oversight of the FLARNG and FLANG Substance Abuse Prevention Programs.,National Guard,Florida
Florida Fish and Wildlife Conservation Commission,,Florida
Florida re-districting website.  House Speaker Will Weatherford and Senate President Don Gaetz called a special session from August 7-15 to amend Congressional Districts 5 and 10 consistent with the Final Judgment issued by the circuit court in Romo v. Detzner and to make conforming changes to districts that are a direct result of the changes to Congressional Districts 5 and 10.,,Florida
"""Florida Environmental Public Health Tracking",,Florida
"""The state of Florida's Unclaimed Property",,
"""Florida Water Permiting Portal This portal provides links to information about water resource permitting in Florida",,Florida
Florida Department of Agriculture and Consumer Services,,Florida
National Government of the Federated States of Micronesia,,
Georgia National Guard,National Guard,Georgia
State of Georgia Department of Education,,Georgia
Georgia lottery,,Georgia
GA Do Not Call List. GA Dept of Law. Consumer Protection Unit.,,
Georgia State Defense Force,Georgia State Defense,Georgia
Georgia State Defense Force public beta domain. Crosslinked with gasdf.us email domain.,Georgia State Defense,Georgia
Georgia State Defense Force email domain. Referenced on https://directory.doas.ga.gov/. Not in use as a public website.,Georgia State Defense,Georgia
"""GEAR UP Mississippi operates as part of the Institutions of Higher Learning",,Mississippi
Lousiana National Guard,National Guard,
New Mexico Bureau of Geology & Mineral Resources,New Mexico,New Mexico
The Georgia Civil War Commission,,Georgia
The Georgia Fiscal Management Council,,Georgia
Georgia Trust (Preservation Committee),,Georgia
Governor's Office of Homeland Security and Emergency Preparedness,,
Oregon Student Access Commission,,Oregon
Ga National Fair Grounds and Agricenter,,
Georgia Commission on Dispute Resolution,,Georgia
"""Hawaii Tourism Authority",,Hawaii
Pennsylvania Fish and Boat Commission's Outdoor Shop,,Pennsylvania
"""Got to Be NC Agriculture",,
"""Got To Be NC Festival",,
